UPRN,TOID
100060758118,osgb1000013031381
100060758114,osgb1000013031384
100060758125,osgb1000013031374
100060758120,osgb1000013031379
100060758127,osgb1000013031372
100060758131,osgb1000013031368
100060754485,osgb1000013030481
100060754482,osgb1000013031312
100060754484,osgb1000013031313
100060754486,osgb1000013031314
100060754488,osgb1000013031315
100060754493,osgb1000013030474
100060754495,osgb1000013030473
100060754496,osgb1000013031320
100060754498,osgb1000013030419
100060754497,osgb1000013030472
100060754499,osgb1000013030471
100060754500,osgb1000013030470
100060754503,osgb1000013030422
100060754509,osgb1000013030425
100060754510,osgb1000013030432
100060754102,osgb1000013031325
100060754106,osgb1000013031330
100060754114,osgb1000013031337
100060754116,osgb1000013031340
100060754118,osgb5000005187946639
100060754126,osgb1000013031349
100060754128,osgb1000013031350
100060754130,osgb1000013031351
100060754134,osgb1000013031354
100060754136,osgb1000013031356
100060754138,osgb1000013031357
10023713672,osgb1000002315451006
100060754148,osgb1000013031366
100060754144,osgb1000013031362
100060754147,osgb1000013031364
100060754146,osgb1000013031363
100060754099,osgb1000013031305
100060754101,osgb1000013031303
100060754103,osgb1000013031301
100060754105,osgb1000013031300
100060754113,osgb1000013031291
100060754117,osgb1000013031289
100060754119,osgb1000013031288
100060754121,osgb1000013031287
100060754131,osgb1000013031282
100060754133,osgb1000013031281
100060754135,osgb1000013031280
100060754139,osgb1000013031278
100060754137,osgb1000013031279
100060754143,osgb1000013031274
100060754145,osgb1000013031271
100062421622,osgb1000013030653
100060752743,osgb1000013030575
100060752742,osgb1000041194271
100062421504,osgb1000041194272
100060752747,osgb1000013030612
100060752748,osgb1000013030613
100060752750,osgb1000013030614
100060752752,osgb1000013030615
100060752754,osgb1000013030616
100060752756,osgb1000013030617
100060752758,osgb1000013030619
100060752759,osgb1000013030620
100060752766,osgb1000013030671
100060752760,osgb1000013030621
100060752761,osgb1000013030622
100060752762,osgb1000013030623
100060752763,osgb1000013030626
100060752768,osgb5000005250192651
100060752764,osgb1000013030627
10024249106,osgb1000002315503420
100060752769,osgb1000013030676
100060752765,osgb1000013030632
100060757051,osgb1000013030502
100060757096,osgb1000013030684
100060757092,osgb1000013030682
100060757094,osgb1000013030679
100060757058,osgb1000013030498
100060757062,osgb1000013030496
100060757064,osgb1000013030495
100060757066,osgb1000013030492
10091030214,osgb5000005202316208
10091030215,osgb5000005202316201
100060757075,osgb1000013030464
100060757077,osgb1000013030463
100060757101,osgb1000013030428
100060757104,osgb1000013031230
100060757105,osgb1000013031234
100060757108,osgb1000013031237
100060757109,osgb1000013031238
100060757112,osgb1000013031243
100060757111,osgb1000013031242
100060757113,osgb1000013031244
100060757115,osgb1000013031246
100060757079,osgb1000013030461
100060757082,osgb1000013030460
100060757084,osgb1000013030458
100060757120,osgb1000013031254
100060757118,osgb1000013031252
100060757086,osgb1000013030457
100060757088,osgb1000013030456
100060757091,osgb1000013030455
100060757116,osgb1000013031249
100060757121,osgb1000013031257
100060757097,osgb1000013031218
100060757119,osgb1000013031255
100060757095,osgb1000013031219
100060757098,osgb1000013031217
100060757134,osgb1000013031268
100060757127,osgb1000013031262
100060757136,osgb1000013031191
100060757133,osgb1000013031193
100060757137,osgb1000013031190
100060757135,osgb1000013031192
